HexID	DateTime	Latitude	Longitude	Altitude
AB0DC5	2019/07/12 02:02:15.211	19.95154	-155.00051	6700
AB0DC5	2019/07/12 02:02:16.131	19.95192	-155.00131	6700
AB0DC5	2019/07/12 02:02:16.531	19.95206	-155.00166	6700
AB0DC5	2019/07/12 02:02:17.051	19.95227	-155.00208	6700
AB0DC5	2019/07/12 02:02:18.140	19.95266	-155.00306	6700
AB0DC5	2019/07/12 02:02:19.116	19.95303	-155.00396	6800
AB0DC5	2019/07/12 02:02:20.052	19.95337	-155.00478	6800
AB0DC5	2019/07/12 02:02:20.916	19.95369	-155.00560	6800
AB0DC5	2019/07/12 02:02:21.796	19.95401	-155.00640	6800
AB0DC5	2019/07/12 02:02:22.676	19.95433	-155.00713	6800
AB0DC5	2019/07/12 02:02:23.668	19.95465	-155.00802	6800
AB0DC5	2019/07/12 02:02:24.757	19.95504	-155.00905	6800
AB0DC5	2019/07/12 02:02:25.749	19.95541	-155.00995	6900
AB0DC5	2019/07/12 02:02:26.757	19.95573	-155.01085	6900
AB0DC5	2019/07/12 02:02:27.733	19.95611	-155.01180	6900
AB0DC5	2019/07/12 02:02:28.653	19.95639	-155.01258	6900
AB0DC5	2019/07/12 02:02:29.581	19.95671	-155.01344	6900
AB0DC5	2019/07/12 02:02:30.558	19.95704	-155.01434	6900
AB0DC5	2019/07/12 02:02:31.502	19.95736	-155.01529	7000
AB0DC5	2019/07/12 02:02:32.454	19.95763	-155.01611	7000
AB0DC5	2019/07/12 02:02:33.366	19.95792	-155.01694	7000
AB0DC5	2019/07/12 02:02:33.934	19.95811	-155.01749	7000
AB0DC5	2019/07/12 02:02:34.462	19.95827	-155.01797	7000
AB0DC5	2019/07/12 02:02:35.622	19.95863	-155.01910	7000
AB0DC5	2019/07/12 02:02:36.174	19.95876	-155.01954	7000
AB0DC5	2019/07/12 02:02:36.711	19.95895	-155.02014	7100
AB0DC5	2019/07/12 02:02:37.143	19.95909	-155.02049	7100
AB0DC5	2019/07/12 02:02:37.551	19.95918	-155.02089	7100
AB0DC5	2019/07/12 02:02:37.959	19.95927	-155.02128	7100
AB0DC5	2019/07/12 02:02:38.415	19.95946	-155.02175	7100
